household_ID,member_ID,age,relationship_to_the_head_of_household,gender,ethnicity,religion,marital_status,current_attendance_in_any_education_instituition,highest_level_of_education,main_activity_engaged_in,main_occupation,daily_wage_owner_or_not,employment_status_of_the_main_occupation,no_of_hours_stayed_at_home_during_last_week,member_went_out_for_work_or_not_during_last_week
ID0035,I4,2,Son/daughter,Male,Sinhala,Buddhism,Never married,,,,,,,168.0,
ID0035,I5,65,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 7,Engaged in economic activity/ currently employed/ engaged in own business,Craft and related worker,No,Own account worker,142.0,"Yes, went daily during working days"
ID0035,I6,61,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,0.0,
ID0036,I1,59,Head of the household,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed Grade 6,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,59.5,"Yes, went daily during working days"
ID0036,I2,59,Wife/Husband,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID0036,I3,32,Son/daughter,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Private sector employee,113.0,"Yes, went daily during working days"
ID0036,I4,30,Son-in-law/Daughter in law,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Private sector employee,102.0,"Yes, went daily during working days"
ID0037,I1,88,Head of the household,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Too old / Disable/ unable to work,,,,168.0,
ID0038,I1,79,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Service worker and shop and market sales worker,No,Government employee,168.0,"No, worked from home"
ID0038,I2,74,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Too old / Disable/ unable to work,,,,168.0,
ID0038,I3,46,Son/daughter,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Retired from the private/semi-government sector and does not obtain any pension payment,,,,24.0,
ID0039,I1,74,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Received other pension payments,,,,168.0,
ID0039,I2,72,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Received other pension payments,,,,168.0,
ID0039,I3,35,Son/daughter,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",Yes,Private sector employee,168.0,"No, worked from home"
ID0040,I1,49,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,No,Private sector employee,0.0,"Yes, went daily during working days"
ID0040,I2,45,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Craft and related worker,Yes,Own account worker,37.0,"Yes, went on most of the days"
ID0040,I3,27,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(O/L),Student,,,,37.0,
ID0040,I4,14,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 8,Seeking for and available to work,No occupation,,Contributing family worker,37.0,"Yes, went on most of the days"
ID0041,I1,57,Head of the household,Female,Sinhala,Buddhism,Currently married (registered),University,Passed post Graduate Degree / Diploma,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Craft and related worker,No,Private sector employee,100.0,"No, worked from home"
ID0041,I2,22,Son/daughter,Female,Sinhala,Buddhism,Never married,University,Passed G.C.E.(A/L) or equivalent,Student,,,,75.0,
ID0042,I1,64,Head of the household,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 5,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,152.0,"Yes, went on most of the days"
ID0042,I2,15,Grandson/ Granddaughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 9,Student,,,,125.0,
ID0043,I1,29,Head of the household,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,No,Private sector employee,143.0,"Yes, went on most of the days"
ID0043,I2,27,Other,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,No,Private sector employee,163.0,"No, worked from home"
ID0043,I3,62,Domestic servant/driver/watcher,Male,Sri Lankan Tamil,Hinduism,Currently married (registered),Does not attend,No Schooling,Engaged in economic activity/ currently employed/ engaged in own business,No occupation,No,Private sector employee,168.0,"No, worked from home"
ID0044,I1,72,Head of the household,Male,Sinhala,Buddhism,Separated (not legally),Does not attend,Passed Grade 3,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,Yes,Private sector employee,168.0,"No, worked from home"
ID0045,I1,60,Head of the household,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,No Schooling,Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Private sector employee,99.5,"Yes, went daily during working days"
ID0045,I2,52,Wife/Husband,Male,Sri Lankan Tamil,Buddhism,Currently married (customary),Does not attend,Passed Grade 5,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,91.0,"Yes, went daily during working days"
ID0045,I3,17,Grandson/ Granddaughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 5,Seeking for and available to work,No occupation,,Contributing family worker,138.0,"No, worked from home"
ID0046,I1,38,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Service worker and shop and market sales worker,No,Private sector employee,0.0,"Yes, went daily during working days"
ID0046,I2,32,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Household activities,,,,130.0,
ID0046,I3,3,Son/daughter,Male,Sinhala,Buddhism,Currently married (registered),Preschool,,,,,,130.0,
ID0046,I4,35,Other relative,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID0047,I1,47,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 9,Engaged in economic activity/ currently employed/ engaged in own business,Skilled agricultural and fishery worker,Yes,Private sector employee,98.0,"No, worked from home"
ID0047,I2,50,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 8,Engaged in economic activity/ currently employed/ engaged in own business,Skilled agricultural and fishery worker,Yes,Private sector employee,98.0,"Yes, went daily during working days"
ID0047,I3,13,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 7,Student,,,,98.0,
ID0048,I1,47,Head of the household,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(O/L),Household activities,,,,166.0,
ID0048,I2,82,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 10,Too old / Disable/ unable to work,,,,168.0,
ID0048,I3,79,Other relative,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 5,Too old / Disable/ unable to work,,,,168.0,
ID0048,I4,54,Other,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,No occupation,Yes,Private sector employee,70.0,"Yes, went daily during working days"
ID0048,I5,35,Son/daughter,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Degree / Diploma,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Elementary occupation,No,Private sector employee,70.0,"Yes, went daily during working days"
ID0049,I1,69,Head of the household,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 5,Too old / Disable/ unable to work,,,,168.0,
ID0049,I2,35,Parents of the head of the Household/ spouse,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,158.5,
ID0049,I3,36,Son-in-law/Daughter in law,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,Yes,Private sector employee,154.0,"Yes, went on most of the days"
ID0049,I4,31,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 12,Household activities,,,,150.0,
ID0049,I5,29,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,5.0,"No, worked from home"
ID0049,I6,11,Grandson/ Granddaughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 6,,,,,2.5,
ID0049,I7,6,Grandson/ Granddaughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,School,Studying/Studied Grade 1,,,,,2.5,
ID0049,I8,1,Grandson/ Granddaughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,,,,,,,168.0,
ID0050,I1,67,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,168.0,"No, worked from home"
ID0050,I2,62,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID0050,I3,40,Son/daughter,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Private sector employee,76.0,"Yes, went daily during working days"
ID0050,I4,27,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,128.0,"Yes, went on most of the days"
ID0050,I5,42,Son-in-law/Daughter in law,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Private sector employee,76.0,"Yes, went daily during working days"
ID0050,I6,8,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 3,,,,,110.0,
ID0051,I1,70,Head of the household,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Own account worker,80.0,"No, worked from home"
ID0052,I1,45,Head of the household,Male,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,Yes,Employer,70.0,"Yes, went on most of the days"
ID0052,I2,42,Wife/Husband,Female,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,65.0,"Yes, went daily during working days"
