household_ID,no_of_electricity_meters,electricity_provider_csc_area,own_the_house_or_living_on_rent,occupy_renters_boarders,awareness_of_electricity_consumption_of_renters,built_year_of_the_house,type_of_house,floor_which_house_located,no_of_storeys,floor_area,no_of_household_members,charging_method_of_renters_for_electricity,charged_method_for_rent_for_electricity,is_there_business_carried_out_in_the_household,type_of_business,whom_or_how_the_house_was_designed,availability_of_certificate_of_compliance,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,any_constructions_or_renovations_in_the_household,highest_level_of_education_of_the_chief_wage_earner,occupation_of_the_chief_wage_earner,socio_economic_class,total_monthly_expenditure_of_last_month,type_of_electricity_meter
ID0085,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,216.0,5,,,No,,I am not aware of that.,Yes,Cement Block,Asbestos,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,110000.0,Non smart meter
ID0086,1,JA-ELA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,690.0,4,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Tile,No,Diploma with O/L or A/L (Non graduate),Junior executive / Executive,SEC B,32000.0,Non smart meter
ID0087,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,2680.0,5,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,70000.0,Non smart meter
ID0088,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,1000.0,2,,,No,,I am not aware of that.,Don't know,Brick,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Junior executive / Executive,SEC A,70000.0,Non smart meter
ID0089,1,MAHARAGAMA,"No, I am living on rent and the rent is paid by me or a household member.",,,1980-1989,Single House - More than 2 floors,,1.0,3200.0,5,,You pay the full amount of the electricity bill.,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,60000.0,Non smart meter
ID0090,1,JA-ELA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,750.0,2,,,No,,The house is designed by a certified architect.,Don't know,Brick,Tile,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,40000.0,Non smart meter
ID0091,1,GALLE,"No, I am living on rent and the rent is paid by me or a household member.",,,2010-2019,Single House - Double Floor,,,1200.0,3,,You pay the full amount of the electricity bill.,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,80000.0,Smart meter
ID0092,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,2000.0,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,90000.0,Non smart meter
ID0093,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,2000.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,50000.0,Smart meter
ID0094,1,SEEDUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,3000.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Tile,No,Diploma with O/L or A/L (Non graduate),Supervisor grades,SEC B,90000.0,Non smart meter
ID0095,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,2000.0,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,O/L or A/L pending / Passed,Manager / Professional,SEC B,150000.0,Smart meter
ID0096,1,GALLE,"No, I am living on rent and the rent is paid by me or a household member.",,,2000-2009,Single House - Double Floor,,,2000.0,4,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Yes,Brick,Asbestos,No,O/L or A/L pending / Passed,Manager / Professional,SEC B,80000.0,Non smart meter
ID0097,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,1000.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,100000.0,Non smart meter
ID0098,1,ALUTHGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Double Floor,,,364.0,6,,,No,,The house is designed by a certified architect.,No,Cement Block,Concrete,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,70000.0,Smart meter
ID0099,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1900.0,1,,,No,,The house is designed by a certified architect.,Don't know,Brick,Asbestos,No,O/L or A/L pending / Passed,Manager / Professional,SEC B,25000.0,Non smart meter
ID0100,1,BORALASGAMUWA,"No, I am living on rent and the rent is paid by me or a household member.",,,2010-2019,Single House - Double Floor,,,1104.0,4,,You pay the full amount of the electricity bill.,No,,The house is designed by a certified architect.,Don't know,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,34000.0,Non smart meter
ID0101,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - More than 2 floors,,3.0,600.0,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,100000.0,Non smart meter
ID0102,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,700.0,8,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Self employed (Professional) - No employees,SEC B,40000.0,Non smart meter
ID0103,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,1064.0,2,,,No,,"The house plan is not done by an architect, nor checked by a certified architect / engineer, the house is designed to barely pass the legal requirements of the local authorities.",No,Cement Block,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Manager / Professional,SEC A,80000.0,Non smart meter
ID0104,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,2000.0,2,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Boutique owner,SEC B,100000.0,Smart meter
ID0105,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - More than 2 floors,,3.0,1600.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Metal Sheet,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,60000.0,Non smart meter
ID0106,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1800.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Manager / Professional,SEC A,250000.0,Smart meter
ID0107,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1800.0,4,,,No,,The house is designed by a certified architect.,No,Brick,Asbestos,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,15000.0,Non smart meter
ID0108,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,350.0,10,,,No,,"The house plan is not done by an architect, nor checked by a certified architect / engineer, the house is designed to barely pass the legal requirements of the local authorities.",Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,125000.0,Smart meter
ID0109,1,HIKKADUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,2900.0,4,,,No,,The house is designed by a certified architect.,No,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Manager / Professional,SEC A,125000.0,Smart meter
ID0110,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,1397.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Middle and Senior executive,SEC A,75000.0,Non smart meter
ID0111,1,BORALASGAMUWA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,1100.0,6,,You pay the full amount of the electricity bill.,Yes,Other,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,60000.0,Non smart meter
ID0112,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Double Floor,,,1200.0,2,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,Diploma with O/L or A/L (Non graduate),Junior executive / Executive,SEC B,70000.0,Non smart meter
ID0113,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,1050.0,4,,,No,,The house is designed by a certified architect.,Don't know,Brick,Tile,No,O/L or A/L pending / Passed,Boutique owner,SEC B,50000.0,Non smart meter
ID0114,1,KANDANA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,2800.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,120000.0,Smart meter
ID0115,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Double Floor,,,1400.0,2,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Skilled Worker,SEC B,80000.0,Smart meter
ID0116,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1700.0,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,100000.0,Smart meter
ID0117,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,1200.0,4,,,Yes,Other,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,O/L or A/L pending / Passed,Self employed (Professional) - No employees,SEC B,70000.0,Non smart meter
ID0118,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,840.0,3,,,No,,"The house plan is not done by an architect, nor checked by a certified architect / engineer, the house is designed to barely pass the legal requirements of the local authorities.",No,Brick,Asbestos,Yes,Schooling up to Grade 6 - 9,1-9 Employed,SEC B,90000.0,Non smart meter
ID0119,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,520.0,4,,,No,,I am not aware of that.,Don't know,Brick,Asbestos,No,O/L or A/L pending / Passed,Manager / Professional,SEC B,35000.0,Non smart meter
ID0120,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,600.0,2,,,No,,I am not aware of that.,Don't know,Mud,Tile,No,O/L or A/L pending / Passed,Unskilled Worker,SEC D,20000.0,Non smart meter
ID0121,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,250.0,5,,,No,,I am not aware of that.,Don't know,Cement Block,Tile,No,Primary Education,Unskilled Worker,SEC E,20000.0,Non smart meter
ID0122,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Double Floor,,,2000.0,2,,,No,,The house is designed by a certified architect.,Don't know,Cement Block,Asbestos,Yes,O/L or A/L pending / Passed,Unskilled Worker,SEC D,30000.0,Smart meter
ID0123,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1500.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,100000.0,Smart meter
ID0124,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,,6,,,No,,I am not aware of that.,Don't know,Cabook,Asbestos,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,120000.0,Smart meter
ID0125,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,250.0,7,,,No,,"The house plan is not done by an architect, nor checked by a certified architect / engineer, the house is designed to barely pass the legal requirements of the local authorities.",Yes,Brick,Tile,No,Primary Education,Unskilled Worker,SEC E,60000.0,Non smart meter
ID0126,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,3000.0,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Small Businessman / Self employed (Non professional),SEC B,40000.0,Smart meter
